,count,mean,std,min,25%,50%,75%,max
NO2Value,21060.0,19.957605516197486,13.805012304139787,1.0185185185185186,9.863636363636363,15.803030303030305,26.25757575757576,93.92424242424242
NO2ValueOrigin,21060.0,19.957020203355572,13.805085499567783,1.0185185185185186,9.861954545454545,15.80659090909091,26.25431818181818,93.94772727272728
NOValue,13411.0,10.805652047231549,18.306845416623887,0.0,2.333333333333333,4.722222222222222,10.0,230.79166666666663
NOValueOrigin,13411.0,10.807783171764592,18.304398894038435,0.0,2.3366666666666664,4.724166666666666,10.010625,230.78041666666664
NOXValue,13411.0,34.517483046860484,28.380230040268078,1.5,18.08333333333333,25.166666666666668,39.708333333333336,302.6666666666667
NOXValueOrigin,13411.0,34.516292396532734,28.379651153868224,1.5,18.061458333333334,25.166666666666668,39.72125,302.69166666666666
O3Value,21058.0,52.97875230995989,26.19328299385098,1.6388888888888888,32.888888888888886,55.11111111111112,73.36111111111111,129.66666666666666
O3ValueOrigin,21058.0,52.97875230995989,26.19328299385098,1.6388888888888888,32.888888888888886,55.11111111111112,73.36111111111111,129.66666666666666
PM10Value,21059.0,23.106315386737002,13.404827263672148,2.4444444444444446,14.666666666666666,20.5,28.452380952380956,281.537037037037
PM10ValueOrigin,21059.0,23.058915653369958,13.40300919872566,2.4309523809523808,14.625,20.44074074074074,28.419444444444444,281.5037037037037
PM1Value,13343.0,7.5864041672518026,7.258260321521365,0.0,3.0,5.5,9.416666666666666,123.41666666666669
PM1ValueOrigin,13343.0,7.536940250369764,7.258712548916853,0.1,2.95,5.45,9.341666666666669,123.39166666666668
PM25Value,21059.0,11.506496338958174,9.273322583086756,0.6190476190476191,6.0,9.61904761904762,14.462962962962964,230.6296296296296
PM25ValueOrigin,21059.0,11.46426593653733,9.27284267740019,0.5542592592592592,5.953703703703703,9.56851851851852,14.41462962962963,230.57592592592596
SO2Value,21058.0,2.8564962305356048,0.943615302154914,0.75,2.25,2.75,3.333333333333333,25.11111111111111
SO2ValueOrigin,21058.0,2.8355883383052944,0.9384431615017793,0.8486666666666667,2.2250694444444443,2.73575,3.293333333333333,25.115
